,RegionSalesCar,2014 Q2,2014 Q1,Quarter_Rev,2013 Q2,principal,pmt,t_i,pti,min_inc,HAI
22,Monterey,391000,405450,NA,334262.5,351900,1384.947868,449.65,1834.597868,55037.93604,0.497083802
23,San Luis Obispo,413040.5,405433,NA,379635.5,371736.45,1463.016777,474.996575,1938.013352,58140.40057,0.4749998
24,Santa Barbara,573257,550706.5,NA,559470,515931.3,2030.51422,659.24555,2689.75977,80692.7931,0.389034512
25,Santa Cruz,565250,522750,NA,527000,508725,2002.152896,650.0375,2652.190396,79565.71189,0.400290287
26,Fresno,168215,161262,NA,146157.5,151393.5,595.8286589,193.44725,789.2759089,23678.27727,0.72359899
27,Kings County,150654,147534.5,NA,128154.5,135588.6,533.6264351,173.2521,706.8785351,21206.35605,0.805687833
28,Madera,182010.5,164534.5,NA,128273.5,163809.45,644.6932326,209.312075,854.0053076,25620.15923,0.712383947
29,Merced,139340.5,134674,NA,126191,125406.45,493.5532696,160.241575,653.7948446,19613.84534,0.770834967
30,Placer County,323612,311669.5,NA,305328.5,291250.8,1146.255114,372.1538,1518.408914,45552.26741,0.662461503
31,Sacramento,230307.5,217464,NA,201433,207276.75,815.7644019,264.853625,1080.618027,32418.54081,0.690573126
32,San Benito,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33,San Joaquin,217770,202206.5,NA,#N/A,195993,771.3557474,250.4355,1021.791247,30653.73742,0.636107382
34,Stanislaus,189405.5,180242.5,NA,#N/A,170464.95,670.8868118,217.816325,888.7031368,26661.09411,0.678580468
35,Tulare,149285.5,139400,NA,129820.5,134356.95,528.7791175,171.678325,700.4574425,21013.72328,0.766727143
36,Amador,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37,Butte County,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38,El Dorado County,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39,Humboldt,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40,Lake County,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41,Mariposa And Tuolumne,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42,Mendocino,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
43,Shasta,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
44,Siskiyou County,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45,Sutter,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46,Tehama,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
47,Yolo,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48,Yuba,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
