,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
373,WINDSOR,2018-Q3,657000,7/1/2018,2748.118136,525600,755.55,3503.668136,140146.7255,0.301589844
374,WOODLAND,2018-Q3,390000,7/1/2018,1631.303003,312000,448.5,2079.803003,83192.12013,0.388097978
375,WRIGHTWOOD,2018-Q3,254000,7/1/2018,1062.438366,203200,292.1,1354.538366,54181.53465,0.541867675
376,YORBA LINDA,2018-Q3,856500,7/1/2018,3582.592365,685200,984.975,4567.567365,182702.6946,0.321437636
377,YUBA CITY,2018-Q3,299500,7/1/2018,1252.75705,239600,344.425,1597.18205,63887.282,0.433399243
378,YUCAIPA,2018-Q3,385000,7/1/2018,1610.388862,308000,442.75,2053.138862,82125.55449,0.37472785
379,YUCCA VALLEY,2018-Q3,220750,7/1/2018,923.3593282,176600,253.8625,1177.221828,47088.87313,0.455185657
379,ACTON,2018-Q2,599950,4/1/2018,2505.5141,479960,689.9425,3179.19653,127167.8612,0.372587049
379,ADELANTO,2018-Q2,225000,4/1/2018,928.5878635,180000,258.75,1192.298057,47691.92228,0.36835149
379,AGOURA HILLS,2018-Q2,965000,4/1/2018,3743.631251,772000,1109.75,5113.633889,204545.3556,0.297565726
379,ALAMEDA,2018-Q2,945000,4/1/2018,4260.704109,756000,1086.75,5007.651839,200306.0736,0.198022532
379,ALAMO,2018-Q2,1745000,4/1/2018,6544.03474,1396000,2006.75,9246.93382,369877.3528,0.31859224
379,ALHAMBRA,2018-Q2,641500,4/1/2018,2758.575207,513200,737.725,3399.374238,135974.9695,0.166073939
379,ALISO VIEJO,2018-Q2,590000,4/1/2018,2605.901977,472000,678.5,3126.470461,125058.8184,0.443535271
379,ALPINE,2018-Q2,622000,4/1/2018,2634.742578,497600,715.3,3296.04174,131841.6696,18.01282558
379,ALTADENA,2018-Q2,850000,4/1/2018,3492.661559,680000,977.5,4504.237104,180169.4842,0.254252059
379,AMERICAN CANYON,2018-Q2,519000,4/1/2018,2411.400465,415200,596.85,2750.234185,110009.3674,0.392541331
379,ANAHEIM,2018-Q2,565000,4/1/2018,2384.212082,452000,649.75,2993.992899,119759.7159,0.251349282
379,ANDERSON,2018-Q2,227500,4/1/2018,941.1363481,182000,261.625,1205.545813,48221.83253,0.368056304
379,ANTELOPE,2018-Q2,350000,4/1/2018,1457.715633,280000,402.5,1854.685866,74187.43466,0.480930359
379,ANTIOCH,2018-Q2,455500,4/1/2018,1861.358555,364400,523.825,2413.741178,96549.6471,0.368461616
379,APPLE VALLEY,2018-Q2,248500,4/1/2018,1066.621195,198800,285.775,1316.826965,52673.07861,0.49308043
379,APTOS,2018-Q2,970000,4/1/2018,3848.201957,776000,1115.5,5140.129401,205605.176,0.140150121
379,ARCADIA,2018-Q2,1107500,4/1/2018,4454.712048,886000,1273.625,5868.755992,234750.2397,0.139629906
379,ARCATA,2018-Q2,344453,4/1/2018,1505.818157,275562.4,396.12095,1825.291745,73011.6698,0.223848058
379,ARNOLD,2018-Q2,295000,4/1/2018,1277.854019,236000,339.25,1563.23523,62529.40921,0.458635624
379,ARROYO GRANDE,2018-Q2,652500,4/1/2018,2907.065609,522000,750.375,3457.664365,138306.5746,0.227515285
379,ATASCADERO,2018-Q2,5.00E+05,4/1/2018,2210.624711,4.00E+05,575,2649.551238,105982.0495,0.316087125
