"","region","Price.2017-Q4","Price.2017-Q3","principal.2017-Q4","pmt.2017-Q4","t_i.2017-Q4","pti.2017-Q4","min_inc.2017-Q4","HAI.2017-Q4","principal.2017-Q3","pmt.2017-Q3","t_i.2017-Q3","pti.2017-Q3","min_inc.2017-Q3","HAI.2017-Q3"
"61","BENICIA",655000,575000,524000,2717.66212146204,753.25,3470.91212146204,138836.484858481,0.332015666653506,460000,2385.73392342087,661.25,3046.98392342087,121879.356936835,0.394336551234921
"62","BERKELEY",1325000,1150000,1060000,5497.56078005679,1523.75,7021.31078005679,280852.431202272,0.118971051892967,920000,4771.46784684174,1322.5,6093.96784684174,243758.71387367,0.133322507162615
"63","BERMUDA DUNES",328921.5,369000,263137.2,1364.72900989996,378.259725,1742.98873489996,69719.5493959985,0.483496214449755,295200,1531.01881346487,424.35,1955.36881346487,78214.7525385949,0.427553584018113
"64","BERRY CREEK",227500,189000,182000,943.920813179562,261.625,1205.54581317956,48221.8325271825,0.408815593656168,151200,784.180367872252,217.35,1001.53036787225,40061.2147148901,0.534995676819024
"65","BETHEL ISLAND",499900,370000,399920,2074.13632750973,574.885,2649.02132750973,105960.853100389,0.190885594746867,296000,1535.16791594039,425.5,1960.66791594039,78426.7166376155,0.276157706909505
"66","BEVERLY HILLS",1099500,2400000,879600,4561.93817182826,1264.425,5826.36317182826,233054.52687313,0.246590369507608,1920000,9957.84594123494,2760,12717.8459412349,508713.837649398,0
"67","BIEBER",1e+05,75000,80000,414.910247551456,115,529.910247551456,21196.4099020582,0.71651138985529,60000,311.182685663592,86.25,397.432685663592,15897.3074265437,0.785941842176873
"68","BIG BEAR CITY",283000,358000,226400,1174.19600057062,325.45,1499.64600057062,59985.8400228248,0.427035731571024,286400,1485.37868623421,411.7,1897.07868623421,75883.1474493685,0.306105586232552
"69","BIG BEAR LAKE",472500,385000,378000,1960.45091968063,543.375,2503.82591968063,100153.036787225,0.248267187094121,308000,1597.40445307311,442.75,2040.15445307311,81606.1781229242,0.321364998211014
"70","BIG CREEK",107750,355000,86200,447.065791736694,123.9125,570.978291736694,22839.1316694678,0.968977864325412,284000,1472.93137880767,408.25,1881.18137880767,75247.2551523067,0.654095021225742
"71","BIG LAGOON",444750,355000,355800,1845.3133259851,511.4625,2356.7758259851,94271.033039404,0.277267684315473,284000,1472.93137880767,408.25,1881.18137880767,75247.2551523067,0.347835657543502
"72","BIG PINE",236000,183700,188800,979.188184221436,271.4,1250.58818422144,50023.5273688575,0.549703567085881,146960,762.190124752025,211.255,973.445124752025,38937.804990081,0.67516456021093
"73","BIGGS",370000,160000,296000,1535.16791594039,425.5,1960.66791594039,78426.7166376155,0.308246229933209,128000,663.85639608233,184,847.85639608233,33914.2558432932,0.660563593604352
"74","BIOLA",175000,160000,140000,726.092933215048,201.25,927.342933215048,37093.7173286019,0.541870980184439,128000,663.85639608233,184,847.85639608233,33914.2558432932,0.56996669044592
"75","BISHOP",396500,415000,317200,1645.11913154152,455.975,2101.09413154152,84043.7652616609,0.233020249053912,332000,1721.87752733854,477.25,2199.12752733854,87965.1010935417,0.21261846051275
"76","BLAIRSDEN",304250,243500,243400,1262.3644281753,349.8875,1612.25192817531,64490.0771270122,0.76416517060233,194800,1010.3064527878,280.025,1290.3314527878,51613.2581115118,0.905718784774802
"77","BLOOMINGTON",342500,304000,274000,1421.06759786374,393.875,1814.94259786374,72597.7039145495,0.354334440675904,243200,1261.32715255643,349.6,1610.92715255643,64437.086102257,0.415054083538596
"78","BLUE LAKE",476250,455000,381000,1976.01005396381,547.6875,2523.69755396381,100947.902158552,0.225271471604644,364000,1887.84162635912,523.25,2411.09162635912,96443.665054365,0.242892269686314
"79","BLYTHE",115625,115000,92500,479.739973731371,132.96875,612.708723731371,24508.3489492548,0.694168422653635,92000,477.146784684174,132.25,609.396784684174,24375.871387367,0.694511562918138
"80","BODEGA BAY",990000,911000,792000,4107.61145075941,1138.5,5246.11145075941,209844.458030377,0.170188754556802,728800,3779.83235519376,1047.65,4827.48235519376,193099.294207751,0.191527521025504
"81","BOLINAS",1136000,1998500,908800,4713.38041218454,1306.4,6019.78041218454,240791.216487382,0.145361334669052,1598800,8291.98129731585,2298.275,10590.2562973158,423610.251892634,0.0771803718728017
"82","BONITA",710000,699500,568000,2945.86275761534,816.5,3762.36275761534,150494.510304613,0.26364982750146,559600,2902.29718162243,804.425,3706.72218162244,148268.887264897,0.269652457767965
"83","BONSALL",870000,546200,696000,3609.71915369767,1000.5,4610.21915369767,184408.766147907,0.209918548775553,436960,2266.23977212605,628.13,2894.36977212605,115774.790885042,0.372163500545739
"84","BOONVILLE",475000,102000,380000,1970.82367586942,546.25,2517.07367586942,100682.947034777,0.160855049401932,81600,423.208452502485,117.3,540.508452502485,21620.3381000994,0.760261125561837
"85","BORON",77000,102000,61600,319.480890614621,88.55,408.030890614621,16321.2356245848,0.769463366637509,81600,423.208452502485,117.3,540.508452502485,21620.3381000994,0.680506002007196
"86","BORREGO SPRINGS",213125,255000,170500,884.277465094041,245.09375,1129.37121509404,45174.8486037616,0.401939680138877,204000,1058.02113125621,293.25,1351.27113125621,54050.8452502485,0.325843622124463
"87","BOULDER CREEK",620000,605000,496000,2572.44353481903,713,3285.44353481903,131417.741392761,0.244119439281369,484000,2510.20699768631,695.75,3205.95699768631,128238.279907452,0.25524345216589
"88","BOULEVARD",321000,324500,256800,1331.86189464017,369.15,1701.01189464017,68040.475785607,0.351496718911444,259600,1346.38375330447,373.175,1719.55875330447,68782.350132179,0.343306395515604
