X,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
,ORINDA,2017-Q2,1607500,4/1/2017,6669.682229,1.29E+06,1848.625,8518.307229,340732.2892,0.310268925
,OROVILLE,2017-Q2,2.29E+05,4/1/2017,950.1444669,183200,263.35,1213.494467,48539.77868,0.367606786
,OXNARD,2017-Q2,4.90E+05,4/1/2017,2033.060213,3.92E+05,563.5,2596.560213,103862.4085,0.257464262
,PACIFIC GROVE,2017-Q2,8.99E+05,4/1/2017,3730.043125,719200,1033.85,4763.893125,190555.725,0.120910072
,PACIFICA,2017-Q2,9.25E+05,4/1/2017,3837.91979,7.40E+05,1063.75,4901.66979,196066.7916,0.19842282
,PALM DESERT,2017-Q2,3.20E+05,4/1/2017,1327.712792,2.56E+05,368,1695.712792,67828.51169,0.435203195
,PALM SPRINGS,2017-Q2,370500,4/1/2017,1537.242467,296400,426.075,1963.317467,78532.69869,0.300986211
,PALMDALE,2017-Q2,2.80E+05,4/1/2017,1161.748693,2.24E+05,322,1483.748693,59349.94773,0.491629831
,PALO ALTO,2017-Q2,2.68E+06,4/1/2017,11098.84912,2.14E+06,3076.25,14175.09912,567003.9649,0
,PALOS VERDES ESTATES,2017-Q2,2.05E+06,4/1/2017,8505.660075,1.64E+06,2357.5,10863.16007,434526.403,0.248303533
,PARADISE,2017-Q2,282500,4/1/2017,1172.121449,2.26E+05,324.875,1496.996449,59879.85797,0.382237003
,PASADENA,2017-Q2,818500,4/1/2017,3396.040376,654800,941.275,4337.315376,173492.615,0.174912157
,PATTERSON,2017-Q2,3.27E+05,4/1/2017,1356.756509,261600,376.05,1732.806509,69312.26038,0.3915731
,PENN VALLEY,2017-Q2,3.53E+05,4/1/2017,1464.633174,282400,405.95,1870.583174,74823.32695,0.40440117
,PERRIS,2017-Q2,2.85E+05,4/1/2017,1182.494206,2.28E+05,327.75,1510.244206,60409.76822,0.416151753
,PETALUMA,2017-Q2,7.03E+05,4/1/2017,2916.81904,562400,808.45,3725.26904,149010.7616,0.242954816
,PHELAN,2017-Q2,2.42E+05,4/1/2017,1004.082799,193600,278.3,1282.382799,51295.31196,0.538324541
,PICO RIVERA,2017-Q2,4.35E+05,4/1/2017,1804.859577,3.48E+05,500.25,2305.109577,92204.38307,0.277584179
,PINOLE,2017-Q2,5.50E+05,4/1/2017,2282.006362,4.40E+05,632.5,2914.506362,116580.2545,0.315565381
,PISMO BEACH,2017-Q2,9.02E+05,4/1/2017,3742.490433,721600,1037.3,4779.790433,191191.6173,0.087029058
,PITTSBURG,2017-Q2,4.30E+05,4/1/2017,1784.114064,3.44E+05,494.5,2278.614064,91144.56258,0.348999779
,PLACENTIA,2017-Q2,662500,4/1/2017,2748.78039,5.30E+05,761.875,3510.65539,140426.2156,0.2584656
,PLACERVILLE,2017-Q2,4.03E+05,4/1/2017,1672.088298,322400,463.45,2135.538298,85421.53191,0.283552467
,PLEASANT HILL,2017-Q2,699800,4/1/2017,2903.541912,559840,804.77,3708.311912,148332.4765,0.244888142
,PLEASANTON,2017-Q2,9.92E+05,4/1/2017,4115.909656,793600,1140.8,5256.709656,210268.3862,0.267470053
,PLUMAS LAKE,2017-Q2,3.15E+05,4/1/2017,1306.96728,2.52E+05,362.25,1669.21728,66768.69119,0.583011502
,POLLOCK PINES,2017-Q2,3.12E+05,4/1/2017,1294.519972,249600,358.8,1653.319972,66132.79889,0.413962097
,POMONA,2017-Q2,3.70E+05,4/1/2017,1535.167916,2.96E+05,425.5,1960.667916,78426.71664,0.312523206
,PORTERVILLE,2017-Q2,1.95E+05,4/1/2017,809.0749827,1.56E+05,224.25,1033.324983,41332.99931,0.522659767
,POWAY,2017-Q2,725700,4/1/2017,3011.003666,580560,834.555,3845.558666,153822.3467,0.298646833
,RAMONA,2017-Q2,5.20E+05,4/1/2017,2157.533287,4.16E+05,598,2755.533287,110221.3315,0.281690297
,RANCHO CORDOVA,2017-Q2,3.30E+05,4/1/2017,1369.203817,2.64E+05,379.5,1748.703817,69948.15268,0.424352406
,RANCHO CUCAMONGA,2017-Q2,460500,4/1/2017,1910.66169,368400,529.575,2440.23669,97609.4676,0.4000181
,RANCHO MIRAGE,2017-Q2,4.25E+05,4/1/2017,1763.368552,3.40E+05,488.75,2252.118552,90084.74208,0.409541608
,RANCHO PALOS VERDES,2017-Q2,1.26E+06,4/1/2017,5207.123607,1.00E+06,1443.25,6650.373607,266014.9443,0.178123458
,RANCHO SANTA FE,2017-Q2,2.10E+06,4/1/2017,8713.115199,1.68E+06,2415,11128.1152,445124.6079,0.141655689
,RANCHO SANTA MARGARITA,2017-Q2,6.49E+05,4/1/2017,2692.767507,519200,746.35,3439.117507,137564.7003,0.395556839
,REDDING,2017-Q2,277500,4/1/2017,1151.375937,2.22E+05,319.125,1470.500937,58820.03748,0.413205342
,REDLANDS,2017-Q2,3.80E+05,4/1/2017,1576.658941,3.04E+05,437,2013.658941,80546.35763,0.436380819
,REDONDO BEACH,2017-Q2,1028500,4/1/2017,4267.351896,822800,1182.775,5450.126896,218005.0758,0.170418036
,REDWOOD CITY,2017-Q2,1.50E+06,4/1/2017,6223.653713,1.20E+06,1725,7948.653713,317946.1485,0.123576904
,REEDLEY,2017-Q2,225500,4/1/2017,935.6226082,180400,259.325,1194.947608,47797.90433,0.493687497
,RIALTO,2017-Q2,3.20E+05,4/1/2017,1327.712792,2.56E+05,368,1695.712792,67828.51169,0.388893224
,RICHMOND,2017-Q2,452100,4/1/2017,1875.809229,361680,519.915,2395.724229,95828.96917,0.272409399
,RIO LINDA,2017-Q2,274900,4/1/2017,1140.588271,219920,316.135,1456.723271,58268.93082,0.464195648
,RIO VISTA,2017-Q2,3.38E+05,4/1/2017,1402.396637,270400,388.7,1791.096637,71643.86547,0.44010173
,RIPON,2017-Q2,4.37E+05,4/1/2017,1813.157782,349600,502.55,2315.707782,92628.31127,0.454003323
,RIVERBANK,2017-Q2,3.15E+05,4/1/2017,1306.96728,2.52E+05,362.25,1669.21728,66768.69119,0.478514869
,RIVERSIDE,2017-Q2,3.75E+05,4/1/2017,1555.913428,3.00E+05,431.25,1987.163428,79486.53713,0.356551477
,ROCKLIN,2017-Q2,4.68E+05,4/1/2017,1941.779959,374400,538.2,2479.979959,99199.19834,0.435283955
,ROHNERT PARK,2017-Q2,5.10E+05,4/1/2017,2116.042263,4.08E+05,586.5,2702.542263,108101.6905,0.246317432
,ROSAMOND,2017-Q2,235500,4/1/2017,977.113633,188400,270.825,1247.938633,49917.54532,0.579143777
,ROSEVILLE,2017-Q2,437500,4/1/2017,1815.232333,3.50E+05,503.125,2318.357333,92734.29332,0.44507531
,ROWLAND HEIGHTS,2017-Q2,6.64E+05,4/1/2017,2755.004044,531200,763.6,3518.604044,140744.1617,0.189162879
,RUNNING SPRINGS,2017-Q2,1.95E+05,4/1/2017,809.0749827,1.56E+05,224.25,1033.324983,41332.99931,0.705060314
,SACRAMENTO,2017-Q2,2.95E+05,4/1/2017,1223.98523,2.36E+05,339.25,1563.23523,62529.40921,0.438724653
,SALIDA,2017-Q2,3.05E+05,4/1/2017,1265.476255,2.44E+05,350.75,1616.226255,64649.0502,0.586541157
,SALINAS,2017-Q2,499250,4/1/2017,2071.439411,399400,574.1375,2645.576911,105823.0764,0.188685156
,SAN ANSELMO,2017-Q2,1.38E+06,4/1/2017,5725.761416,1.10E+06,1587,7312.761416,292510.4566,0.160980506
,SAN BERNARDINO,2017-Q2,2.54E+05,4/1/2017,1053.872029,203200,292.1,1345.972029,53838.88115,0.361211031
,SAN BRUNO,2017-Q2,988944,4/1/2017,4103.229999,791155.2,1137.2856,5240.515599,209620.6239,0.117142603
,SAN CARLOS,2017-Q2,1.57E+06,4/1/2017,6514.090887,1.26E+06,1805.5,8319.590887,332783.6355,0.20507737
,SAN CLEMENTE,2017-Q2,9.50E+05,4/1/2017,3941.647352,7.60E+05,1092.5,5034.147352,201365.8941,0.199500202
,SAN DIEGO,2017-Q2,5.68E+05,4/1/2017,2356.690206,454400,653.2,3009.890206,120395.6082,0.27738436
,SAN DIMAS,2017-Q2,5.80E+05,4/1/2017,2406.479436,4.64E+05,667,3073.479436,122939.1774,0.290354486
,SAN FRANCISCO,2017-Q2,1.25E+06,4/1/2017,5186.378094,1.00E+06,1437.5,6623.878094,264955.1238,0.129753168
,SAN GABRIEL,2017-Q2,7.48E+05,4/1/2017,3103.528652,598400,860.2,3963.728652,158549.1461,0.141137901
,SAN JACINTO,2017-Q2,254750,4/1/2017,1056.983856,203800,292.9625,1349.946356,53997.85423,0.432592617
,SAN JOSE,2017-Q2,866500,4/1/2017,3595.197295,693200,996.475,4591.672295,183666.8918,0.207203156
,SAN JUAN CAPISTRANO,2017-Q2,8.30E+05,4/1/2017,3443.755055,6.64E+05,954.5,4398.255055,175930.2022,0.210607276
,SAN LEANDRO,2017-Q2,617500,4/1/2017,2562.070779,4.94E+05,710.125,3272.195779,130887.8311,0.221592449
,SAN LORENZO,2017-Q2,592500,4/1/2017,2458.343217,4.74E+05,681.375,3139.718217,125588.7287,0.282189634
,SAN LUIS OBISPO,2017-Q2,6.36E+05,4/1/2017,2638.829174,508800,731.4,3370.229174,134809.167,0.164618652
,SAN MARCOS,2017-Q2,5.80E+05,4/1/2017,2406.479436,4.64E+05,667,3073.479436,122939.1774,0.205558917
,SAN MATEO,2017-Q2,1.25E+06,4/1/2017,5186.378094,1.00E+06,1437.5,6623.878094,264955.1238,0.133444391
,SAN PABLO,2017-Q2,4.10E+05,4/1/2017,1701.132015,3.28E+05,471.5,2172.632015,86905.2806,0.214181906
,SAN RAFAEL,2017-Q2,9.79E+05,4/1/2017,4061.971324,783200,1125.85,5187.821324,207512.8529,0.169923079
,SAN RAMON,2017-Q2,9.85E+05,4/1/2017,4086.865938,7.88E+05,1132.75,5219.615938,208784.6375,0.277268777
,SANGER,2017-Q2,2.35E+05,4/1/2017,975.0390817,1.88E+05,270.25,1245.289082,49811.56327,0.440334519
,SANTA ANA,2017-Q2,4.80E+05,4/1/2017,1991.569188,3.84E+05,552,2543.569188,101742.7675,0.209285589
,SANTA BARBARA,2017-Q2,1.20E+06,4/1/2017,4978.922971,9.60E+05,1380,6358.922971,254356.9188,0.072336104
,SANTA CLARA,2017-Q2,1.11E+06,4/1/2017,4588.907338,884800,1271.9,5860.807338,234432.2935,0.141849531
,SANTA CLARITA,2017-Q2,475500,4/1/2017,1972.898227,380400,546.825,2519.723227,100788.9291,0.440231841
,SANTA CRUZ,2017-Q2,8.49E+05,4/1/2017,3522.588002,679200,976.35,4498.938002,179957.5201,0.130780436
,SANTA MARIA,2017-Q2,3.85E+05,4/1/2017,1597.404453,3.08E+05,442.75,2040.154453,81606.17812,0.309987029
,SANTA PAULA,2017-Q2,4.39E+05,4/1/2017,1821.455987,351200,504.85,2326.305987,93052.23947,0.246673287
,SANTA ROSA,2017-Q2,540327.5,4/1/2017,2241.874168,432262,621.376625,2863.250793,114530.0317,0.250578408
,SANTEE,2017-Q2,450500,4/1/2017,1869.170665,360400,518.075,2387.245665,95489.82661,0.417240506
,SARATOGA,2017-Q2,2.50E+06,4/1/2017,10372.75619,2.00E+06,2875,13247.75619,529910.2476,0
,SCOTTS VALLEY,2017-Q2,862500,4/1/2017,3578.600885,6.90E+05,991.875,4570.475885,182819.0354,0.243169667
,SEAL BEACH,2017-Q2,952500,4/1/2017,3952.020108,7.62E+05,1095.375,5047.395108,201895.8043,0.116900507
,SEASIDE,2017-Q2,5.05E+05,4/1/2017,2095.29675,4.04E+05,580.75,2676.04675,107041.87,0.201726963
,SEBASTOPOL,2017-Q2,898500,4/1/2017,3727.968574,718800,1033.275,4761.243574,190449.743,0.11170502
,SELMA,2017-Q2,2.05E+05,4/1/2017,850.5660075,1.64E+05,235.75,1086.316007,43452.6403,0.496223008
,SHASTA LAKE,2017-Q2,2.05E+05,4/1/2017,850.5660075,1.64E+05,235.75,1086.316007,43452.6403,0.505588482
,SHINGLE SPRINGS,2017-Q2,5.50E+05,4/1/2017,2282.006362,4.40E+05,632.5,2914.506362,116580.2545,0.344308719
,SIMI VALLEY,2017-Q2,5.60E+05,4/1/2017,2323.497386,4.48E+05,644,2967.497386,118699.8955,0.347908351
,SOLVANG,2017-Q2,761500,4/1/2017,3159.541535,609200,875.725,4035.266535,161410.6614,0.146079591
,SONOMA,2017-Q2,652500,4/1/2017,2707.289365,5.22E+05,750.375,3457.664365,138306.5746,0.271226164
,SOUTH LAKE TAHOE,2017-Q2,4.55E+05,4/1/2017,1887.841626,3.64E+05,523.25,2411.091626,96443.66505,0.214505406
,SPRING VALLEY,2017-Q2,420500,4/1/2017,1744.697591,336400,483.575,2228.272591,89130.90364,0.11081917
,STEVENSON RANCH,2017-Q2,672500,4/1/2017,2790.271415,5.38E+05,773.375,3563.646415,142545.8566,0.397200305
,STOCKTON,2017-Q2,257250,4/1/2017,1067.356612,205800,295.8375,1363.194112,54527.76447,0.440017046
,SUISUN CITY,2017-Q2,377345,4/1/2017,1565.643074,301876,433.94675,1999.589824,79983.59294,0.477295413
,SUNNYVALE,2017-Q2,1.43E+06,4/1/2017,5933.21654,1.14E+06,1644.5,7577.71654,303108.6616,0.132407713
,SUSANVILLE,2017-Q2,1.69E+05,4/1/2017,701.1983184,135200,194.35,895.5483184,35821.93273,0.603985108
,TEMECULA,2017-Q2,435500,4/1/2017,1806.934128,348400,500.825,2307.759128,92310.36512,0.44824754
,TEMPLE CITY,2017-Q2,699500,4/1/2017,2902.297182,559600,804.425,3706.722182,148268.8873,0.156701994
,TEMPLETON,2017-Q2,652500,4/1/2017,2707.289365,5.22E+05,750.375,3457.664365,138306.5746,0.219330846
,THOUSAND OAKS,2017-Q2,7.01E+05,4/1/2017,2908.520835,560800,806.15,3714.670835,148586.8334,0.312390553
,TORRANCE,2017-Q2,7.05E+05,4/1/2017,2925.117245,5.64E+05,810.75,3735.867245,149434.6898,0.227947547
,TRACY,2017-Q2,4.52E+05,4/1/2017,1875.394319,361600,519.8,2395.194319,95807.77276,0.402441384
,TRUCKEE,2017-Q2,598750,4/1/2017,2484.275107,4.79E+05,688.5625,3172.837607,126913.5043,0.257939571
,TULARE,2017-Q2,209900,4/1/2017,870.8966096,167920,241.385,1112.28161,44491.26438,0.538805231
,TURLOCK,2017-Q2,3.00E+05,4/1/2017,1244.730743,2.40E+05,345,1589.730743,63589.22971,0.423789059
,TUSTIN,2017-Q2,6.75E+05,4/1/2017,2800.644171,5.40E+05,776.25,3576.894171,143075.7668,0.235660294
,TWENTYNINE PALMS,2017-Q2,9.70E+04,4/1/2017,402.4629401,77600,111.55,514.0129401,20560.5176,0.775594978
,UKIAH,2017-Q2,3.50E+05,4/1/2017,1452.185866,2.80E+05,402.5,1854.685866,74187.43466,0.30754976
,UNION CITY,2017-Q2,7.70E+05,4/1/2017,3194.808906,6.16E+05,885.5,4080.308906,163212.3562,0.227910867
,UPLAND,2017-Q2,5.35E+05,4/1/2017,2219.769824,4.28E+05,615.25,2835.019824,113400.793,0.232668627
,VACAVILLE,2017-Q2,4.10E+05,4/1/2017,1701.132015,3.28E+05,471.5,2172.632015,86905.2806,0.447902896
,VALLEJO,2017-Q2,3.70E+05,4/1/2017,1535.167916,2.96E+05,425.5,1960.667916,78426.71664,0.390413058
,VALLEY CENTER,2017-Q2,6.00E+05,4/1/2017,2489.461485,4.80E+05,690,3179.461485,127178.4594,0.298727777
,VALLEY SPRINGS,2017-Q2,3.25E+05,4/1/2017,1348.458305,2.60E+05,373.75,1722.208305,68888.33218,0.483567077
,VICTORVILLE,2017-Q2,2.32E+05,4/1/2017,962.5917743,185600,266.8,1229.391774,49175.67097,0.483308779
,VISALIA,2017-Q2,2.33E+05,4/1/2017,966.7408768,186400,267.95,1234.690877,49387.63507,0.551429822
,VISTA,2017-Q2,4.91E+05,4/1/2017,2037.209315,392800,564.65,2601.859315,104074.3726,0.201862638
,WALNUT,2017-Q2,806500,4/1/2017,3346.251147,645200,927.475,4273.726147,170949.0459,0.226028529
,WALNUT CREEK,2017-Q2,734750,4/1/2017,3048.553044,587800,844.9625,3893.515544,155740.6218,0.259884604
,WATSONVILLE,2017-Q2,536500,4/1/2017,2225.993478,429200,616.975,2842.968478,113718.7391,0.167010319
,WEST COVINA,2017-Q2,5.20E+05,4/1/2017,2157.533287,4.16E+05,598,2755.533287,110221.3315,0.27039354
,WEST SACRAMENTO,2017-Q2,3.68E+05,4/1/2017,1526.869711,294400,423.2,1950.069711,78002.78844,0.364294267
,WESTLAKE VILLAGE,2017-Q2,8.46E+05,4/1/2017,3510.140694,676800,972.9,4483.040694,179321.6278,0.295785195
,WESTMINSTER,2017-Q2,6.40E+05,4/1/2017,2655.425584,5.12E+05,736,3391.425584,135657.0234,0.156284423
,WHITTIER,2017-Q2,5.14E+05,4/1/2017,2132.638672,411200,591.1,2723.738672,108949.5469,0.291661185
,WILDOMAR,2017-Q2,3.98E+05,4/1/2017,1651.342785,318400,457.7,2109.042785,84361.71141,0.380149295
,WINCHESTER,2017-Q2,4.05E+05,4/1/2017,1680.386503,3.24E+05,465.75,2146.136503,85845.4601,0.379003709
,WINDSOR,2017-Q2,6.06E+05,4/1/2017,2514.3561,484800,696.9,3211.2561,128450.244,0.340166879
,WOODLAND,2017-Q2,3.78E+05,4/1/2017,1568.360736,302400,434.7,2003.060736,80122.42943,0.349910129
,WRIGHTWOOD,2017-Q2,228500,4/1/2017,948.0699157,182800,262.775,1210.844916,48433.79663,0.540172106
,YORBA LINDA,2017-Q2,8.25E+05,4/1/2017,3423.009542,6.60E+05,948.75,4371.759542,174870.3817,0.301345151
,YUBA CITY,2017-Q2,2.72E+05,4/1/2017,1128.555873,217600,312.8,1441.355873,57654.23493,0.481904498
,YUCAIPA,2017-Q2,345900,4/1/2017,1435.174546,276720,397.785,1832.959546,73318.38185,0.394652734
,YUCCA VALLEY,2017-Q2,1.90E+05,4/1/2017,788.3294703,1.52E+05,218.5,1006.82947,40273.17881,0.513363536
,ACAMPO,2018-Q3,577500,7/1/2018,2415.583293,4.62E+05,664.125,3079.708293,123188.3317,0.311193797
,ACTON,2018-Q3,5.99E+05,7/1/2018,2505.5141,479200,688.85,3194.3641,127774.564,0.372363412
,ADELANTO,2018-Q3,2.22E+05,7/1/2018,928.5878635,177600,255.3,1183.887863,47355.51454,0.373518928
,AGOURA HILLS,2018-Q3,8.95E+05,7/1/2018,3743.631251,7.16E+05,1029.25,4772.881251,190915.2501,0.332016391
,AGUA DULCE,2018-Q3,6.34E+05,7/1/2018,2651.913088,507200,729.1,3381.013088,135240.5235,0.38178741
,AGUANGA,2018-Q3,416500,7/1/2018,1742.147951,333200,478.975,2221.122951,88844.91804,0.303248996
,AHWAHNEE,2018-Q3,332750,7/1/2018,1391.836088,266200,382.6625,1774.498588,70979.94353,0.425427886
,ALAMEDA,2018-Q3,1018618,7/1/2018,4260.704109,814894.4,1171.4107,5432.114809,217284.5924,0.176279494
,ALAMO,2018-Q3,1564500,7/1/2018,6544.03474,1251600,1799.175,8343.20974,333728.3896,0.346244533
,ALBANY,2018-Q3,8.05E+05,7/1/2018,3367.176712,6.44E+05,925.75,4292.926712,171717.0685,0.263456162
,ALBION,2018-Q3,616750,7/1/2018,2579.759301,493400,709.2625,3289.021801,131560.872,0.076917752
,ALHAMBRA,2018-Q3,659500,7/1/2018,2758.575207,527600,758.425,3517.000207,140680.0083,0.155732174
,ALISO VIEJO,2018-Q3,6.23E+05,7/1/2018,2605.901977,498400,716.45,3322.351977,132894.0791,0.41382281
,ALPINE,2018-Q3,629895,7/1/2018,2634.742578,503916,724.37925,3359.121828,134364.8731,2.18360275
,ALTA,2018-Q3,4.35E+05,7/1/2018,1819.530273,3.48E+05,500.25,2319.780273,92791.21092,0.258486168
,ALTADENA,2018-Q3,8.35E+05,7/1/2018,3492.661559,6.68E+05,960.25,4452.911559,178116.4623,0.261560931
,ALTURAS,2018-Q3,3.00E+04,7/1/2018,125.4848464,2.40E+04,34.5,159.9848464,6399.393857,0.902963922
,AMERICAN CANYON,2018-Q3,576500,7/1/2018,2411.400465,461200,662.975,3074.375465,122975.0186,0.3441187
,ANAHEIM,2018-Q3,5.70E+05,7/1/2018,2384.212082,4.56E+05,655.5,3039.712082,121588.4833,0.245852586
,ANDERSON,2018-Q3,2.25E+05,7/1/2018,941.1363481,1.80E+05,258.75,1199.886348,47995.45392,0.373091247
,ANGWIN,2018-Q3,1027500,7/1/2018,4297.85599,8.22E+05,1181.625,5479.48099,219179.2396,0.111353523
,ANTELOPE,2018-Q3,348500,7/1/2018,1457.715633,278800,400.775,1858.490633,74339.6253,0.48206416
,ANTIOCH,2018-Q3,4.45E+05,7/1/2018,1861.358555,3.56E+05,511.75,2373.108555,94924.34221,0.379774936
,ANZA,2018-Q3,244950,7/1/2018,1024.583771,195960,281.6925,1306.276271,52251.05084,0.425029688
,APPLE VALLEY,2018-Q3,2.55E+05,7/1/2018,1066.621195,2.04E+05,293.25,1359.871195,54394.84778,0.482703078
,APTOS,2018-Q3,9.20E+05,7/1/2018,3848.201957,7.36E+05,1058,4906.201957,196248.0783,0.158860266
,ARCADIA,2018-Q3,1.07E+06,7/1/2018,4454.712048,8.52E+05,1224.75,5679.462048,227178.4819,0.151319494
,ARCATA,2018-Q3,3.60E+05,7/1/2018,1505.818157,2.88E+05,414,1919.818157,76792.72628,0.209298419
,ARMONA,2018-Q3,155250,7/1/2018,649.3840802,124200,178.5375,827.9215802,33116.86321,0.64341997
,ARNOLD,2018-Q3,305500,7/1/2018,1277.854019,244400,351.325,1629.179019,65167.16077,0.442398477
,AROMAS,2018-Q3,686250,7/1/2018,2870.465862,5.49E+05,789.1875,3659.653362,146386.1345,0.256379653
,ARROYO GRANDE,2018-Q3,6.95E+05,7/1/2018,2907.065609,5.56E+05,799.25,3706.315609,148252.6243,0.196728005
,ARTESIA,2018-Q3,507500,7/1/2018,2122.785318,4.06E+05,583.625,2706.410318,108256.4127,0.315680219
,ARTOIS,2018-Q3,2.56E+05,7/1/2018,1070.804023,204800,294.4,1365.204023,54608.16091,0.563433683
,ATASCADERO,2018-Q3,528500,7/1/2018,2210.624711,422800,607.775,2818.399711,112735.9884,0.288022544
,ATHERTON,2018-Q3,6.33E+06,7/1/2018,26456.38845,5.06E+06,7273.75,33730.13845,1349205.538,0
,ATWATER,2018-Q3,2.65E+05,7/1/2018,1108.449477,2.12E+05,304.75,1413.199477,56527.97907,0.409278323
,AUBERRY,2018-Q3,251500,7/1/2018,1051.981296,201200,289.225,1341.206296,53648.25183,0.529581142
,AUBURN,2018-Q3,4.80E+05,7/1/2018,2007.757543,3.84E+05,552,2559.757543,102390.3017,0.279316617
,AVALON,2018-Q3,7.75E+05,7/1/2018,3241.691866,6.20E+05,891.25,4132.941866,165317.6746,0.15448276
,AVENAL,2018-Q3,1.50E+05,7/1/2018,627.4242321,1.20E+05,172.5,799.9242321,31996.96928,0.581891023
,AVERY,2018-Q3,258499.5,7/1/2018,1081.259002,206799.6,297.274425,1378.533427,55141.33707,0.536247392
,AZUSA,2018-Q3,4.50E+05,7/1/2018,1882.272696,3.60E+05,517.5,2399.772696,95990.90785,0.328358636
,BAKERSFIELD,2018-Q3,243500,7/1/2018,1018.51867,194800,280.025,1298.54367,51941.7468,0.58559508
,BALDWIN PARK,2018-Q3,4.65E+05,7/1/2018,1945.015119,3.72E+05,534.75,2479.765119,99190.60478,0.229517353
,BANNING,2018-Q3,2.70E+05,7/1/2018,1129.363618,2.16E+05,310.5,1439.863618,57594.54471,0.404674841
,BARSTOW,2018-Q3,142900,7/1/2018,597.7261517,114320,164.335,762.0611517,30482.44607,0.601414873
,BASS LAKE,2018-Q3,262500,7/1/2018,1097.992406,2.10E+05,301.875,1399.867406,55994.69624,0.397810054
,BAY POINT,2018-Q3,467500,7/1/2018,1955.47219,3.74E+05,537.625,2493.09719,99723.8876,0.232146777
,BEAR VALLEY,2018-Q3,195062.5,7/1/2018,815.9129285,156050,224.321875,1040.234803,41609.39214,0.546521225
,BEAUMONT,2018-Q3,339900,7/1/2018,1421.74331,271920,390.885,1812.62831,72505.13239,0.507183103
,BECKWOURTH,2018-Q3,1.45E+06,7/1/2018,6065.10091,1.16E+06,1667.5,7732.60091,309304.0364,0.095441395
,BELL,2018-Q3,4.50E+05,7/1/2018,1882.272696,3.60E+05,517.5,2399.772696,95990.90785,0.124266777
,BELL CANYON,2018-Q3,1.67E+06,7/1/2018,6964.408976,1.33E+06,1914.75,8879.158976,355166.359,0.328972905
,BELL GARDENS,2018-Q3,4.48E+05,7/1/2018,1873.90704,358400,515.2,2389.10704,95564.28159,0.151204171
,BELLA VISTA,2018-Q3,4.08E+05,7/1/2018,1706.593911,326400,469.2,2175.793911,87031.75645,0.323099651
,BELLFLOWER,2018-Q3,4.80E+05,7/1/2018,2007.757543,3.84E+05,552,2559.757543,102390.3017,0.221049661
,BELMONT,2018-Q3,1.81E+06,7/1/2018,7550.004926,1.44E+06,2075.75,9625.754926,385030.197,0.171711967
,BELVEDERE,2018-Q3,3.15E+06,7/1/2018,13175.90887,2.52E+06,3622.5,16798.40887,671936.3549,0
,BEN LOMOND,2018-Q3,8.10E+05,7/1/2018,3388.090853,6.48E+05,931.5,4319.590853,172783.6341,0.124681284
,BENBOW,2018-Q3,1.20E+06,7/1/2018,5019.393857,9.60E+05,1380,6399.393857,255975.7543,0.034378892
,BENICIA,2018-Q3,6.75E+05,7/1/2018,2823.409044,5.40E+05,776.25,3599.659044,143986.3618,0.315552647
,BERKELEY,2018-Q3,1.22E+06,7/1/2018,5103.050421,9.76E+05,1403,6506.050421,260242.0168,0.126862331
,BERMUDA DUNES,2018-Q3,3.60E+05,7/1/2018,1505.818157,2.88E+05,414,1919.818157,76792.72628,0.439341615
,BERRY CREEK,2018-Q3,212500,7/1/2018,888.8509954,1.70E+05,244.375,1133.225995,45329.03982,0.458313661
,BETHEL ISLAND,2018-Q3,574500,7/1/2018,2403.034809,459600,660.675,3063.709809,122548.3924,0.130289399
,BEVERLY HILLS,2018-Q3,1.39E+06,7/1/2018,5793.217076,1.11E+06,1592.75,7385.967076,295438.683,0.205675101
,BIEBER,2018-Q3,2.11E+05,7/1/2018,882.5767531,168800,242.65,1125.226753,45009.07012,0.424746029
,BIG BEAR CITY,2018-Q3,227125,7/1/2018,950.0248581,181700,261.19375,1211.218608,48448.74432,0.51893296
,BIG BEAR LAKE,2018-Q3,364450,7/1/2018,1524.431743,291560,419.1175,1943.549243,77741.9697,0.343113714
,BIG LAGOON,2018-Q3,3.69E+05,7/1/2018,1543.463611,295200,424.35,1967.813611,78712.54444,0.339522615
,BIG PINE,2018-Q3,3.60E+05,7/1/2018,1505.818157,2.88E+05,414,1919.818157,76792.72628,0.373984935
,BIG RIVER,2018-Q3,1.65E+05,7/1/2018,690.1666553,1.32E+05,189.75,879.9166553,35196.66621,0.430137834
,BIOLA,2018-Q3,1.70E+05,7/1/2018,711.0807963,1.36E+05,195.5,906.5807963,36263.23185,0.550997272
,BISHOP,2018-Q3,357443,7/1/2018,1495.122665,285954.4,411.05945,1906.182115,76247.28461,0.271929212
,BLAIRSDEN,2018-Q3,2.86E+05,7/1/2018,1196.288869,228800,328.9,1525.188869,61007.55477,0.791357892
,BLOOMINGTON,2018-Q3,3.20E+05,7/1/2018,1338.505028,2.56E+05,368,1706.505028,68260.20114,0.38966306
,BLUE LAKE,2018-Q3,384750,7/1/2018,1609.343155,307800,442.4625,2051.805655,82072.22621,0.311974165
,BLYTHE,2018-Q3,4.40E+04,7/1/2018,184.0444414,35200,50.6,234.6444414,9385.777656,0.87589233
,BODEGA BAY,2018-Q3,1061500,7/1/2018,4440.072149,849200,1220.725,5660.797149,226431.886,0.155118211
