X,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
,BEAUMONT,2018-Q1,318250,1/1/2018,1320.451863,254600,365.9875,1686.439363,67457.57451,0.538511292
,BELMONT,2018-Q1,1.78E+06,1/1/2018,7364.656894,1.42E+06,2041.25,9405.906894,376236.2758,0.172375662
,BENICIA,2018-Q1,5.75E+05,1/1/2018,2385.733923,4.60E+05,661.25,3046.983923,121879.3569,0.394336551
,BERKELEY,2018-Q1,1.15E+06,1/1/2018,4771.467847,9.20E+05,1322.5,6093.967847,243758.7139,0.133322507
,BERMUDA DUNES,2018-Q1,3.69E+05,1/1/2018,1531.018813,295200,424.35,1955.368813,78214.75254,0.427553584
,BLOOMINGTON,2018-Q1,3.04E+05,1/1/2018,1261.327153,243200,349.6,1610.927153,64437.0861,0.415054084
,BONITA,2018-Q1,699500,1/1/2018,2902.297182,559600,804.425,3706.722182,148268.8873,0.269652458
,BOULDER CREEK,2018-Q1,6.05E+05,1/1/2018,2510.206998,4.84E+05,695.75,3205.956998,128238.2799,0.255243452
,BREA,2018-Q1,6.75E+05,1/1/2018,2800.644171,5.40E+05,776.25,3576.894171,143075.7668,0.283581821
,BRENTWOOD,2018-Q1,6.10E+05,1/1/2018,2530.95251,4.88E+05,701.5,3232.45251,129298.1004,0.39094296
,BUENA PARK,2018-Q1,5.70E+05,1/1/2018,2364.988411,4.56E+05,655.5,3020.488411,120819.5364,0.242213297
,BURBANK,2018-Q1,7.58E+05,1/1/2018,3145.019676,606400,871.7,4016.719676,160668.7871,0.34561827
,BURLINGAME,2018-Q1,2.20E+06,1/1/2018,9144.621856,1763200,2534.6,11679.22186,467168.8742,0.130637485
,CALABASAS,2018-Q1,1118750,1/1/2018,4641.808394,8.95E+05,1286.5625,5928.370894,237134.8358,0.265217683
,CALIFORNIA CITY,2018-Q1,159900,1/1/2018,663.4414858,127920,183.885,847.3264858,33893.05943,0.661041566
,CAMARILLO,2018-Q1,5.79E+05,1/1/2018,2402.330333,463200,665.85,3068.180333,122727.2133,0.391439559
,CAMBRIA,2018-Q1,5.87E+05,1/1/2018,2435.523153,469600,675.05,3110.573153,124422.9261,0.235278893
,CAMERON PARK,2018-Q1,472500,1/1/2018,1960.45092,3.78E+05,543.375,2503.82592,100153.0368,0.436428221
,CAMPBELL,2018-Q1,1.40E+06,1/1/2018,5808.743466,1.12E+06,1610,7418.743466,296749.7386,0.131847877
,CANYON LAKE,2018-Q1,4.19E+05,1/1/2018,1738.473937,335200,481.85,2220.323937,88812.95749,0.44197731
,CARLSBAD,2018-Q1,825500,1/1/2018,3425.084094,660400,949.325,4374.409094,174976.3637,0.269084478
,CARMICHAEL,2018-Q1,3.87E+05,1/1/2018,1605.702658,309600,445.05,2050.752658,82030.10632,0.406941508
,CARSON,2018-Q1,487500,1/1/2018,2022.687457,3.90E+05,560.625,2583.312457,103332.4983,0.371263134
,CASTRO VALLEY,2018-Q1,797500,1/1/2018,3308.909224,6.38E+05,917.125,4226.034224,169041.369,0.262671754
