,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
396,ARCATA,2018-Q1,301000,1/1/2018,1248.879845,240800,346.15,1595.029845,63801.19381,0.272724918
774,ARCATA,2017-Q2,369500,4/1/2017,1533.093365,295600,424.925,1958.018365,78320.73459,0.183831943
18,ARCATA,2017-Q4,344453,10/1/2017,1429.170795,275562.4,396.12095,1825.291745,73011.6698,0.223848058
396,ARCATA,2017-Q3,301000,7/1/2017,1248.879845,240800,346.15,1595.029845,63801.19381,0.272724918
18,ARCATA,2017-Q1,360000,1/1/2017,1435.394638,288000,414,1849.394638,73975.78552,0.198386376
19,ARNOLD,2018-Q2,295000,4/1/2018,1223.98523,236000,339.25,1563.23523,62529.40921,0.458635624
397,ARNOLD,2018-Q1,292060,1/1/2018,1211.786869,233648,335.869,1547.655869,61906.23476,0.462360051
775,ARNOLD,2017-Q2,285000,4/1/2017,1182.494206,228000,327.75,1510.244206,60409.76822,0.552846409
19,ARNOLD,2017-Q4,295000,10/1/2017,1223.98523,236000,339.25,1563.23523,62529.40921,0.458635624
397,ARNOLD,2017-Q3,292060,7/1/2017,1211.786869,233648,335.869,1547.655869,61906.23476,0.462360051
19,ARNOLD,2017-Q1,290000,1/1/2017,1156.290125,232000,333.5,1489.790125,59591.605,0.556978403
20,ARROYO GRANDE,2018-Q2,652500,4/1/2018,2707.289365,522000,750.375,3457.664365,138306.5746,0.227515285
398,ARROYO GRANDE,2018-Q1,7.00E+05,1/1/2018,2904.371733,560000,805,3709.371733,148374.8693,0.19151875
776,ARROYO GRANDE,2017-Q2,665000,4/1/2017,2759.153146,532000,764.75,3523.903146,140956.1258,0.178256436
20,ARROYO GRANDE,2017-Q4,652500,10/1/2017,2707.289365,522000,750.375,3457.664365,138306.5746,0.227515285
398,ARROYO GRANDE,2017-Q3,7.00E+05,7/1/2017,2904.371733,560000,805,3709.371733,148374.8693,0.19151875
20,ARROYO GRANDE,2017-Q1,614500,1/1/2017,2450.138903,491600,706.675,3156.813903,126272.5561,0.227525157
21,ATASCADERO,2018-Q2,5.00E+05,4/1/2018,2074.551238,4.00E+05,575,2649.551238,105982.0495,0.316087125
399,ATASCADERO,2018-Q1,522500,1/1/2018,2167.906043,418000,600.875,2768.781043,110751.2417,0.291707566
777,ATASCADERO,2017-Q2,460000,4/1/2017,1908.587139,368000,529,2437.587139,97503.48555,0.342635729
21,ATASCADERO,2017-Q4,5.00E+05,10/1/2017,2074.551238,4.00E+05,575,2649.551238,105982.0495,0.316087125
399,ATASCADERO,2017-Q3,522500,7/1/2017,2167.906043,418000,600.875,2768.781043,110751.2417,0.291707566
21,ATASCADERO,2017-Q1,449000,1/1/2017,1790.25609,359200,516.35,2306.60609,92264.24361,0.371116114
22,ATWATER,2018-Q2,270000,4/1/2018,1120.257668,216000,310.5,1430.757668,57230.30674,0.402923344
400,ATWATER,2018-Q1,245000,1/1/2018,1016.530107,196000,281.75,1298.280107,51931.20426,0.439324953
778,ATWATER,2017-Q2,248000,4/1/2017,1028.977414,198400,285.2,1314.177414,52567.09656,0.450713182
22,ATWATER,2017-Q4,270000,10/1/2017,1120.257668,216000,310.5,1430.757668,57230.30674,0.402923344
400,ATWATER,2017-Q3,245000,7/1/2017,1016.530107,196000,281.75,1298.280107,51931.20426,0.439324953
22,ATWATER,2017-Q1,238000,1/1/2017,948.955344,190400,273.7,1222.655344,48906.21376,0.48001573
23,AUBURN,2018-Q2,499900,4/1/2018,2074.136328,399920,574.885,2649.021328,105960.8531,0.265640034
401,AUBURN,2018-Q1,464000,1/1/2018,1925.183549,371200,533.6,2458.783549,98351.34195,0.290851432
779,AUBURN,2017-Q2,475000,4/1/2017,1970.823676,380000,546.25,2517.073676,100682.947,0.255396927
23,AUBURN,2017-Q4,499900,10/1/2017,2074.136328,399920,574.885,2649.021328,105960.8531,0.265640034
401,AUBURN,2017-Q3,464000,7/1/2017,1925.183549,371200,533.6,2458.783549,98351.34195,0.290851432
23,AUBURN,2017-Q1,419500,1/1/2017,1672.633474,335600,482.425,2155.058474,86202.33896,0.319093376
24,AZUSA,2018-Q2,448500,4/1/2018,1860.87246,358800,515.775,2376.64746,95065.89841,0.330450453
402,AZUSA,2018-Q1,432000,1/1/2018,1792.412269,345600,496.8,2289.212269,91568.49078,0.346787577
780,AZUSA,2017-Q2,433500,4/1/2017,1798.635923,346800,498.525,2297.160923,91886.43693,0.301434327
24,AZUSA,2017-Q4,448500,10/1/2017,1860.87246,358800,515.775,2376.64746,95065.89841,0.330450453
402,AZUSA,2017-Q3,432000,7/1/2017,1792.412269,345600,496.8,2289.212269,91568.49078,0.346787577
