"","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"101","EL MONTE","2018-Q2",530000,2018-04-01,2199.02431202272,424000,609.5,2808.52431202272,112340.972480909,0.130751800816521
"102","ELK GROVE","2018-Q2",430000,2018-04-01,1784.11406447126,344000,494.5,2278.61406447126,91144.5625788504,0.497300324491469
"103","ENCINITAS","2018-Q2",1015000,2018-04-01,4211.33901264728,812000,1167.25,5378.58901264728,215143.560505891,0.205939350017823
"104","ESCONDIDO","2018-Q2",525000,2018-04-01,2178.27879964514,420000,603.75,2782.02879964514,111281.151985806,0.224721758842048
"105","EUREKA","2018-Q2",266000,2018-04-01,1103.66125848687,212800,305.9,1409.56125848687,56382.4503394749,0.333766539928854
"106","EXETER","2018-Q2",245000,2018-04-01,1016.53010650107,196000,281.75,1298.28010650107,51931.2042600427,0.471361004031363
"107","FAIR OAKS","2018-Q2",450000,2018-04-01,1867.09611398155,360000,517.5,2384.59611398155,95383.8445592621,0.452437304664845
"108","FAIRFIELD","2018-Q2",475000,2018-04-01,1970.82367586942,380000,546.25,2517.07367586942,100682.947034777,0.369712079751029
"109","FALLBROOK","2018-Q2",583000,2018-04-01,2418.92674322499,466400,670.45,3089.37674322499,123575.069729,0.181794627581022
"110","FELTON","2018-Q2",662500,2018-04-01,2748.7803900284,530000,761.875,3510.6553900284,140426.215601136,0.227994555788118
"111","FOLSOM","2018-Q2",542500,2018-04-01,2250.88809296665,434000,623.875,2874.76309296665,114990.523718666,0.514171635493913
"112","FONTANA","2018-Q2",407450,2018-04-01,1690.55180364841,325960,468.5675,2159.11930364841,86364.7721459363,0.412307615229524
"113","FORESTHILL","2018-Q2",454000,2018-04-01,1883.69252388361,363200,522.1,2405.79252388361,96231.7009553444,0.349892471755159
"114","FORTUNA","2018-Q2",295000,2018-04-01,1223.9852302768,236000,339.25,1563.2352302768,62529.4092110718,0.358187453955392
"115","FOUNTAIN VALLEY","2018-Q2",780000,2018-04-01,3236.29993090136,624000,897,4133.29993090136,165331.997236054,0.202874369729989
"116","FREMONT","2018-Q2",1175000,2018-04-01,4875.19540872961,940000,1351.25,6226.44540872961,249057.816349184,0.16525881364674
"117","FRESNO","2018-Q2",255000,2018-04-01,1058.02113125621,204000,293.25,1351.27113125621,54050.8452502485,0.449050754562864
"118","FULLERTON","2018-Q2",626750,2018-04-01,2600.44997652875,501400,720.7625,3321.21247652875,132848.49906115,0.248373740975616
"119","GALT","2018-Q2",375000,2018-04-01,1555.91342831796,3e+05,431.25,1987.16342831796,79486.5371327184,0.445984327092609
"120","GARDEN GROVE","2018-Q2",605000,2018-04-01,2510.20699768631,484000,695.75,3205.95699768631,128238.279907452,0.175656355650668
"121","GARDENA","2018-Q2",539000,2018-04-01,2236.36623430235,431200,619.85,2856.21623430235,114248.649372094,0.193933775585244
"122","GILROY","2018-Q2",775000,2018-04-01,3215.55441852378,620000,891.25,4106.80441852378,164272.176740951,0.251626625765922
"123","GLENDALE","2018-Q2",930000,2018-04-01,3858.66530222854,744000,1069.5,4928.16530222854,197126.612089142,0.111725196351848
"124","GLENDORA","2018-Q2",612000,2018-04-01,2539.25071501491,489600,703.8,3243.05071501491,129722.028600596,0.306534513589434
"125","GOLD RIVER","2018-Q2",499000,2018-04-01,2070.40213528177,399200,573.85,2644.25213528177,105770.085411271,0.582565373407151
"126","GOLETA","2018-Q2",815000,2018-04-01,3381.51851754437,652000,937.25,4318.76851754437,172750.740701775,0.195236822844585
"127","GRANITE BAY","2018-Q2",793000,2018-04-01,3290.23826308305,634400,911.95,4202.18826308305,168087.530523322,0.363030557121334
"128","GRASS VALLEY","2018-Q2",422500,2018-04-01,1752.9957959049,338000,485.875,2238.8707959049,89554.8318361961,0.180127685317832
"129","GROVER BEACH","2018-Q2",520000,2018-04-01,2157.53328726757,416000,598,2755.53328726757,110221.331490703,0.241622776737613
"130","HACIENDA HEIGHTS","2018-Q2",660500,2018-04-01,2740.48218507737,528400,759.575,3500.05718507737,140002.287403095,0.253390588766378
"131","HALF MOON BAY","2018-Q2",1250000,2018-04-01,5186.3780943932,1e+06,1437.5,6623.8780943932,264955.123775728,0.244912871344692
"132","HANFORD","2018-Q2",245000,2018-04-01,1016.53010650107,196000,281.75,1298.28010650107,51931.2042600427,0.542034971391385
"133","HAWTHORNE","2018-Q2",730000,2018-04-01,3028.84480712563,584000,839.5,3868.34480712563,154733.792285025,0.0825694421363624
"134","HAYWARD","2018-Q2",675000,2018-04-01,2800.64417097233,540000,776.25,3576.89417097233,143075.766838893,0.21323328112905
"135","HEALDSBURG","2018-Q2",950000,2018-04-01,3941.64735173883,760000,1092.5,5034.14735173883,201365.894069553,0.126777953355235
"136","HEMET","2018-Q2",263250,2018-04-01,1092.25122667921,210600,302.7375,1394.98872667921,55799.5490671683,0.329621098956018
"137","HERCULES","2018-Q2",605000,2018-04-01,2510.20699768631,484000,695.75,3205.95699768631,128238.279907452,0.422872802311905
"138","HESPERIA","2018-Q2",276000,2018-04-01,1145.15228324202,220800,317.4,1462.55228324202,58502.0913296807,0.434264759701624
"139","HIDDEN VALLEY LAKE","2018-Q2",334000,2018-04-01,1385.80022682186,267200,384.1,1769.90022682186,70796.0090728745,0.482984339183828
"140","HIGHLAND","2018-Q2",330000,2018-04-01,1369.2038169198,264000,379.5,1748.7038169198,69948.1526767922,0.442626494110298
"141","HILLSBOROUGH","2018-Q2",4258667,2018-04-01,17669.6457920922,3406933.6,4897.46705,22567.1128420922,902684.513683687,0
