"","region","Price.2017-Q2","Price.2017-Q1.x","principal.2017-Q2","pmt.2017-Q2","t_i.2017-Q2","pti.2017-Q2","min_inc.2017-Q2","HAI.2017-Q2","Price.2017-Q1.y","principal.2017-Q1","pmt.2017-Q1","t_i.2017-Q1","pti.2017-Q1","min_inc.2017-Q1","HAI.2017-Q1"
"11","ALBANY",815000,859000,652000,3146.67230407188,937.25,4083.92230407188,163356.892162875,0.231872331311859,859000,687200,3425.0110944815,987.85,4412.8610944815,176514.44377926,0.204038451227918
"12","ALBION",675000,450000,540000,2606.13963834174,776.25,3382.38963834174,135295.58553367,0.0449952662595692,450000,360000,1794.2432974583,517.5,2311.7432974583,92469.7318983318,0.127604262668912
"13","ALHAMBRA",590000,550000,472000,2277.9590912913,678.5,2956.4590912913,118258.363651652,0.187161780821102,550000,440000,2192.96403022681,632.5,2825.46403022681,113018.561209072,0.203502831778525
"14","ALISO VIEJO",580500,535000,464400,2241.2800889739,667.575,2908.85508897389,116354.203558956,0.458587644631763,535000,428000,2133.15592031153,615.25,2748.40592031153,109936.236812461,0.487107581166396
"15","ALPINE",605500,480000,484400,2337.80377928285,696.325,3034.12877928285,121365.151171314,0.320612934582671,480000,384000,1913.85951728885,552,2465.85951728885,98634.380691554,0.427094552017414
"16","ALTA",310000,291500,248000,1196.89375983102,356.5,1553.39375983102,62135.7503932408,0.45393517398542,291500,233200,1162.27093602021,335.225,1497.49593602021,59899.8374408083,0.467442255609714
"17","ALTADENA",830000,806250,664000,3204.58651825725,954.5,4159.08651825725,166363.46073029,0.242764550891194,806250,645000,3214.68590794611,927.1875,4141.87340794611,165674.936317845,0.242385270266583
"18","AMERICAN CANYON",537500,522500,430000,2075.2593416425,618.125,2693.3843416425,107735.3736657,0.388177842447338,522500,418000,2083.31582871547,600.875,2684.19082871547,107367.633148619,0.387310027359578
"19","ANAHEIM",528750,5e+05,423000,2041.47605003436,608.0625,2649.53855003436,105981.542001374,0.285845535632188,5e+05,4e+05,1993.60366384255,575,2568.60366384255,102744.146553702,0.296848946369804
"20","ANCHOR BAY",405000,222000,324000,1563.68378300504,465.75,2029.43378300504,81177.3513202017,0.314715922458296,222000,177600,885.160026746093,255.3,1140.46002674609,45618.4010698437,0.485366435966305
"21","ANDERSON",219500,222000,175600,847.47800091261,252.425,1099.90300091261,43996.1200365044,0.434970545583527,222000,177600,885.160026746093,255.3,1140.46002674609,45618.4010698437,0.418349301301806
"22","ANGWIN",9e+05,965000,720000,3474.85285112232,1035,4509.85285112232,180394.114044893,0.150324178491224,965000,772000,3847.65507121612,1109.75,4957.40507121612,198296.202848645,0.112577451298531
"23","ANTELOPE",325000,305000,260000,1254.80797401639,373.75,1628.55797401639,65142.3189606557,0.518406833226601,305000,244000,1216.09823494396,350.75,1566.84823494396,62673.9293977582,0.535591322268939
"24","ANTIOCH",415000,394000,332000,1602.29325912862,477.25,2079.54325912862,83181.730365145,0.436526408712164,394000,315200,1570.95968710793,453.1,2024.05968710793,80962.3874843172,0.446620952789348
"25","ANZA",267500,303000,214000,1032.8034863058,307.625,1340.4284863058,53617.139452232,0.407638656385077,303000,242400,1208.12382028859,348.45,1556.57382028859,62262.9528115434,0.346613822119423
"26","APPLE VALLEY",239900,230000,191920,926.241332204716,275.885,1202.12633220472,48085.0532881886,0.497564392874072,230000,184000,917.057685367573,264.5,1181.55768536757,47262.3074147029,0.504701119183572
"27","APTOS",9e+05,840000,720000,3474.85285112232,1035,4509.85285112232,180394.114044893,0.19190011567282,840000,672000,3349.25415525549,966,4315.25415525549,172610.166210219,0.208786550153279
"28","ARCADIA",933000,1100000,746400,3602.26412233014,1072.95,4675.21412233014,187008.564893205,0.182947707985333,1100000,880000,4385.92806045361,1265,5650.92806045361,226037.122418144,0.126367626310369
