"","region","Price2018-Q1","Price2017-Q4","principal2018-Q1","pmt2018-Q1","t_i2018-Q1","pti2018-Q1","min_inc2018-Q1","HAI2018-Q1","principal2017-Q4","pmt2017-Q4","t_i2017-Q4","pti2017-Q4","min_inc2017-Q4","HAI2017-Q4","Price2017-Q1","principal2017-Q1","pmt2017-Q1","t_i2017-Q1","pti2017-Q1","min_inc2017-Q1","HAI2017-Q1"
"83","CYPRESS",649950,601500,519960,2616.05651550206,747.4425,3363.49901550206,134539.960620082,0.288558670270165,481200,2344.73263954682,691.725,3036.45763954682,121458.305581873,0.336290528652234,569900,455920,2272.30945604774,655.385,2927.69445604774,117107.77824191,0.350777427406178
"84","DALY CITY",1010000,928000,808000,4065.26206732377,1161.5,5226.76206732377,209070.482692951,0.10336674196008,742400,3617.47612551862,1067.2,4684.67612551862,187387.045020745,0.128746326218842,789550,631640,3148.09954557377,907.9825,4056.08204557377,162243.281822951,0.170178280183015
"85","DANA POINT",924995,895400,739996,3723.11592669717,1063.74425,4786.86017669717,191474.407067887,0.212077759457278,716320,3490.39668404027,1029.71,4520.10668404027,180804.267361611,0.207422126729604,839500,671600,3347.26055159164,965.425,4312.68555159164,172507.422063666,0.219035851670418
"86","DANVILLE",1237500,1239995,990000,4980.95228545857,1423.125,6404.07728545857,256163.091418343,0.300355984051436,991996,4833.67705631731,1425.99425,6259.67130631731,250386.852252692,0.261846916310222,1122500,898000,4475.64022532653,1290.875,5766.51522532653,230660.609013061,0.290474116832028
"87","DAVIS",650000,611250,520000,2616.25776609945,747.5,3363.75776609945,134550.310643978,0.279241945530462,489000,2382.73952771903,702.9375,3085.67702771903,123427.081108761,0.258460614335326,554500,443600,2210.90646320139,637.675,2848.58146320139,113943.258528056,0.285251781620831
"88","DEL MAR",1776875,1628000,1421500,7151.94310482764,2043.40625,9195.34935482764,367813.974193106,0.135138336208464,1302400,6346.17578916413,1872.2,8218.37578916413,328735.031566565,0.123382598548121,1320000,1056000,5263.11367254433,1518,6781.11367254433,271244.546901773,0.143940389762827
"89","DESERT HOT SPRINGS",215000,221500,172000,865.377568786742,247.25,1112.62756878674,44505.1027514697,0.394376889984677,177200,863.438536424972,254.725,1118.16353642497,44726.5414569989,0.386410219651573,190000,152000,757.569392260169,218.5,976.069392260169,39042.7756904068,0.448022432271199
"90","DIAMOND BAR",677500,595500,542000,2726.9455946652,779.125,3506.0705946652,140242.823786608,0.314886788642376,476400,2321.343785287,684.825,3006.168785287,120246.75141148,0.37945427057634,625000,5e+05,2492.00457980319,718.75,3210.75457980319,128430.183192128,0.3361417890597
"91","DINUBA",240000,2e+05,192000,966.002867482875,276,1242.00286748287,49680.114699315,0.414848766031382,160000,779.628475327289,230,1009.62847532729,40385.1390130916,0.530027836381391,210000,168000,837.313538813871,241.5,1078.81353881387,43152.5415525549,0.488621428361078
"92","DISCOVERY BAY",545000,573500,436000,2193.6315115757,626.75,2820.3815115757,112815.260463028,0.510665145550485,458800,2235.584653001,659.525,2895.109653001,115804.38612004,0.516956126322416,560000,448000,2232.83610350366,644,2876.83610350366,115073.444140146,0.512031314506295
"93","DIXON",426238.5,424000,340990.8,1715.61505513166,490.174275,2205.78933013166,88231.5732052666,0.434249989558229,339200,1652.81236769385,487.6,2140.41236769385,85616.4947077541,0.395552623465577,415000,332000,1654.69104098932,477.25,2131.94104098932,85277.6416395727,0.393536283388537
"94","DOWNEY",567000,545000,453600,2282.18177442829,652.05,2934.23177442829,117369.270977132,0.228574593366009,436000,2124.48759526686,626.75,2751.23759526686,110049.503810674,0.227456004320562,517000,413600,2061.3861884132,594.55,2655.9361884132,106237.447536528,0.235996154519325
"95","DUARTE",503888,468888,403110.4,2028.15522037588,579.4712,2607.62642037588,104305.056815035,0.343123366094162,375110.4,1827.79218269631,539.2212,2367.01338269631,94680.5353078524,0.360797037155515,442500,354000,1764.33924250066,508.875,2273.21424250066,90928.5697000263,0.37288177084547
"96","DUBLIN",882500,822500,706000,3552.07304397349,1014.875,4566.94804397349,182677.92175894,0.337096606222002,658000,3206.22210478347,945.875,4152.09710478347,166083.884191339,0.33633743097004,780000,624000,3110.02171559438,897,4007.02171559438,160280.868623775,0.346439330767234
"97","EAST PALO ALTO",950000,852500,760000,3823.76135045305,1092.5,4916.26135045305,196650.454018122,0.0906364567354516,682000,3323.16637608257,980.375,4303.54137608257,172141.655043303,0.111032841110217,740000,592000,2950.53342248697,851,3801.53342248697,152061.336899479,0.131933347997532
"98","EASTVALE",575000,572500,460000,2314.38187001105,661.25,2975.63187001105,119025.274800442,0.492182425267353,458000,2231.68651062436,658.375,2890.06151062436,115602.460424975,0.466518615701095,522500,418000,2083.31582871547,600.875,2684.19082871547,107367.633148619,0.512312540726706
"99","EL CAJON",507400,530260,405920,2042.29106233671,583.51,2625.80106233671,105032.042493468,0.19594936789859,424208,2067.02897663524,609.799,2676.82797663524,107073.11906541,0.189337470748891,87000,69600,346.887037508604,100.05,446.937037508604,17877.4815003442,0.832961979428059
