,place,Price2018-Q1,Price2017-Q4,principal2018-Q1,pmt2018-Q1,t_i2018-Q1,pti2018-Q1,min_inc2018-Q1,HAI2018-Q1,principal2017-Q4,pmt2017-Q4,t_i2017-Q4,pti2017-Q4,min_inc2017-Q4,HAI2017-Q4,Price2017-Q1,principal2017-Q1,pmt2017-Q1,t_i2017-Q1,pti2017-Q1,min_inc2017-Q1,HAI2017-Q1
87,Fowler,312500,348450,250000,1257.816234,359.375,1617.191234,64687.64935,45.47235613,278760,1402.515413,400.7175,1803.232913,72129.31653,37.90795114,285000,228000,1147.128405,327.75,1474.878405,58995.13621,39.37645275
88,Fremont,1229000,1100000,983200,4946.739684,1413.35,6360.089684,254403.5874,11.06450673,880000,4427.513143,1265,5692.513143,227700.5257,11.14088469,989500,791600,3982.749322,1137.925,5120.674322,204826.9729,12.35516799
89,Fresno,250000,250000,2.00E+05,1006.252987,287.5,1293.752987,51750.11948,42.75031971,2.00E+05,1006.252987,287.5,1293.752987,51750.11948,39.59351138,221725,177380,892.4457741,254.98375,1147.429524,45897.18097,53.88764165
90,Friant,409200,364000,327360,1647.034889,470.58,2117.614889,84704.59556,49.10406791,291200,1465.104349,418.6,1883.704349,75348.17396,45.28109307,445000,356000,1791.130317,511.75,2302.880317,92115.21267,40.94800887
91,Garberville,472500,472500,378000,1901.818145,543.375,2445.193145,97807.72581,13.77798529,378000,1901.818145,543.375,2445.193145,97807.72581,7.861370834,310000,248000,1247.753704,356.5,1604.253704,64170.14815,28.36330959
92,Gardena,547500,566500,438000,2203.694041,629.625,2833.319041,113332.7617,8.903043225,453200,2280.169268,651.475,2931.644268,117265.7707,7.330041912,482000,385600,1940.055759,554.3,2494.355759,99774.23035,21.23761611
93,Georgetown,325000,277500,260000,1308.128883,373.75,1681.878883,67275.15532,47.19492865,222000,1116.940816,319.125,1436.065816,57442.63262,48.32660092,341000,272800,1372.529074,392.15,1764.679074,70587.16297,45.72750133
94,Glendale,980000,889750,784000,3944.511709,1127,5071.511709,202860.4684,6.365266232,711800,3581.254381,1023.2125,4604.466881,184178.6752,6.166869423,892500,714000,3592.323163,1026.375,4618.698163,184747.9265,5.954159437
95,Glendora,637000,582500,509600,2563.932611,732.55,3296.482611,131859.3044,15.60734898,466000,2344.56946,669.875,3014.44446,120577.7784,15.20656043,552900,442320,2225.429106,635.835,2861.264106,114450.5642,16.2653138
96,Green Valley,75000,310000,60000,301.8758961,86.25,388.1258961,15525.03584,90.93395498,248000,1247.753704,356.5,1604.253704,64170.14815,61.87150173,325000,260000,1308.128883,373.75,1681.878883,67275.15532,60.9438777
97,Gridley,235000,275000,188000,945.8778077,270.25,1216.127808,48645.11231,56.72005744,220000,1106.878286,316.25,1423.128286,56925.13143,40.8894872,185000,148000,744.6272104,212.75,957.3772104,38295.08841,58.14720365
98,Grizzly Flats,220000,258700,176000,885.5026285,253,1138.502629,45540.10514,68.57236897,206960,1041.270591,297.505,1338.775591,53551.02364,54.43346671,185000,148000,744.6272104,212.75,957.3772104,38295.08841,67.73007598
99,Hacienda Heights,690000,640000,552000,2777.258244,793.5,3570.758244,142830.3298,12.49167739,512000,2576.007647,736,3312.007647,132480.3059,12.94405631,637500,510000,2565.945117,733.125,3299.070117,131962.8047,12.66225472
100,Hamilton City,140000,283000,112000,563.5016727,161,724.5016727,28980.06691,75.49396046,226400,1139.078381,325.45,1464.528381,58581.13525,31.35917715,212000,169600,853.3025329,243.8,1097.102533,43884.10132,45.79316772
101,Hawaiian Gardens,272499.5,438500,217999.6,1096.813743,313.374425,1410.188168,56407.52673,35.10501513,350800,1764.967739,504.275,2269.242739,90769.70957,13.51258951,290000,232000,1167.253465,333.5,1500.753465,60030.1386,31.23233413
102,Hawthorne,612000,585000,489600,2463.307312,703.8,3167.107312,126684.2925,6.021561841,468000,2354.631989,672.75,3027.381989,121095.2796,5.641313364,588250,470600,2367.713278,676.4875,3044.200778,121768.0311,5.37581708
103,Hayward,705000,653000,564000,2837.633423,810.75,3648.383423,145935.3369,10.85172518,522400,2628.332802,750.95,3379.282802,135171.3121,10.86061275,585000,468000,2354.631989,672.75,3027.381989,121095.2796,12.48388304
104,Hercules,620000,630000,496000,2495.507408,713,3208.507408,128340.2963,21.40595791,504000,2535.757527,724.5,3260.257527,130410.3011,20.44941808,575000,460000,2314.38187,661.25,2975.63187,119025.2748,22.9154431
105,Hermosa Beach,1640000,1625000,1312000,6601.019594,1886,8487.019594,339480.7838,9.441091635,1300000,6540.644415,1868.75,8409.394415,336375.7766,8.326031945,1537500,1230000,6188.45587,1768.125,7956.58087,318263.2348,8.994807719
106,Hidden Hills,3125000,2650000,2500000,12578.16234,3593.75,16171.91234,646876.4935,0,2120000,10666.28166,3047.5,13713.78166,548551.2665,0,3200000,2560000,12880.03823,3680,16560.03823,662401.5293,0
107,Hopland,389000,1.00E+06,311200,1565.729648,447.35,2013.079648,80523.18591,23.73332132,8.00E+05,4025.011948,1150,5175.011948,207000.4779,2.587544623,705000,564000,2837.633423,810.75,3648.383423,145935.3369,4.35251355
108,Humboldt Hill,327450,287500,261960,1317.990162,376.5675,1694.557662,67782.30649,48.84377675,230000,1157.190935,330.625,1487.815935,59512.6374,47.2075403,277400,221920,1116.538314,319.01,1435.548314,57421.93257,46.57570117
109,Huntington Park,430000,471200,344000,1730.755138,494.5,2225.255138,89010.2055,14.08571517,376960,1896.58563,541.88,2438.46563,97538.62519,12.23286631,445000,356000,1791.130317,511.75,2302.880317,92115.21267,12.36657873
110,Hydesville,325000,464000,260000,1308.128883,373.75,1681.878883,67275.15532,48.63292427,371200,1867.605544,533.6,2401.205544,96048.22175,21.80706517,485000,388000,1952.130795,557.75,2509.880795,100395.2318,9.451916224
111,Inglewood,548500,539000,438800,2207.719053,630.775,2838.494053,113539.7621,5.827110285,431200,2169.48144,619.85,2789.33144,111573.2576,5.527280274,515000,412000,2072.881153,592.25,2665.131153,106605.2461,5.902931268
112,Inverness,1300000,1010000,1040000,5232.515532,1495,6727.515532,269100.6213,9.016048787,808000,4065.262067,1161.5,5226.762067,209070.4827,13.12856602,8.00E+05,640000,3220.009558,920,4140.009558,165600.3823,15.0827517
