"","region","Price2018-Q3","Price2018-Q2","principal2018-Q3","pmt2018-Q3","t_i2018-Q3","pti2018-Q3","min_inc2018-Q3","HAI2018-Q3","principal2018-Q2","pmt2018-Q2","t_i2018-Q2","pti2018-Q2","min_inc2018-Q2","HAI2018-Q2","Price2017-Q3","principal2017-Q3","pmt2017-Q3","t_i2017-Q3","pti2017-Q3","min_inc2017-Q3","HAI2017-Q3"
"11","ALBION",616750,641500,493400,2579.75930084977,709.2625,3289.02180084977,131560.872033991,0.0769177524529861,513200,2683.28429914086,737.725,3421.00929914086,136840.371965634,0.0710688818567953,380000,304000,1589.47472123699,437,2026.47472123699,81058.9888494795,0.173371803531632
"12","ALHAMBRA",659500,641500,527600,2758.57520698893,758.425,3517.00020698893,140680.008279557,0.155732174039668,513200,2683.28429914086,737.725,3421.00929914086,136840.371965634,0.163814546072122,595000,476000,2488.78278720002,684.25,3173.03278720002,126921.311488001,0.160978418523172
"13","ALISO VIEJO",623000,590000,498400,2605.9019771859,716.45,3322.3519771859,132894.079087436,0.413822810469116,472000,2467.86864613111,678.5,3146.36864613111,125854.745845245,0.440278972597936,577500,462000,2415.58329345884,664.125,3079.70829345884,123188.331738354,0.428136716328623
"14","ALPINE",629895,622000,503916,2634.74257771993,724.37925,3359.12182771993,134364.873108797,2.18360274993347,497600,2601.71914897212,715.3,3317.01914897212,132680.765958885,17.7904126786997,605000,484000,2530.61106933784,695.75,3226.36106933784,129054.442773513,2.32100825701179
"15","ALTA",435000,258000,348000,1819.53027299497,500.25,2319.78027299497,92791.2109197989,0.258486168275087,206400,1079.16967915564,296.7,1375.86967915564,55034.7871662256,0.487347894855137,295000,236000,1233.93432306556,339.25,1573.18432306556,62927.3729226223,0.450090230221352
"16","ALTADENA",835000,850000,668000,3492.66155850759,960.25,4452.91155850759,178116.462340304,0.261560931028634,680000,3555.40398171431,977.5,4532.90398171431,181316.159268573,0.251696578854059,849500,679600,3553.31256760742,976.925,4530.23756760742,181209.502704297,0.215007215327644
"17","ALTURAS",30000,519000,24000,125.484846413446,34.5,159.984846413446,6399.39385653786,0.902963922306044,415200,2170.88784295262,596.85,2767.73784295262,110709.513718105,0.084591517906813,37919,30335.2,158.608663038382,43.60685,202.215513038382,8088.6205215353,0.900824204479435
"18","AMERICAN CANYON",576500,519000,461200,2411.40046524506,662.975,3074.37546524506,122975.018609802,0.344118699622535,415200,2170.88784295262,596.85,2767.73784295262,110709.513718105,0.389794796786618,510000,408000,2133.24238902859,586.5,2719.74238902859,108789.695561144,0.385730940439677
"19","ANAHEIM",570000,565000,456000,2384.21208185548,655.5,3039.71208185548,121588.483274219,0.245852586465819,452000,2363.29794078657,649.75,3013.04794078657,120521.917631463,0.248268157766574,540000,432000,2258.72723544204,621,2879.72723544204,115189.089417681,0.251304085712219
"20","ANDERSON",225000,227500,180000,941.136348100848,258.75,1199.88634810085,47995.4539240339,0.373091246769227,182000,951.593418635302,261.625,1213.2184186353,48528.7367454121,0.364409667991014,217500,174000,909.765136497486,250.125,1159.89013649749,46395.6054598995,0.41454877093023
"21","ANGWIN",1027500,501500,822000,4297.85598966054,1181.625,5479.48098966054,219179.239586422,0.11135352310182,401200,2097.68834921145,576.725,2674.41334921145,106976.533968458,0.382566099237836,712500,570000,2980.26510231935,819.375,3799.64010231935,151985.604092774,0.209832883307603
"22","ANTELOPE",348500,350000,278800,1457.71563250287,400.775,1858.49063250287,74339.6253001148,0.482064160215526,280000,1463.98987482354,402.5,1866.48987482354,74659.5949929417,0.477323054253926,340000,272000,1422.16159268573,391,1813.16159268573,72526.463707429,0.463965066938838
"23","ANTIOCH",445000,455500,356000,1861.35855513279,511.75,2373.10855513279,94924.3422053115,0.379774935992461,364400,1905.27825137749,523.825,2429.10325137749,97164.1300550998,0.364982167576003,426500,341200,1783.97623317783,490.475,2274.45123317783,90978.0493271132,0.395644360847969
"24","ANZA",244950,282500,195960,1024.58377096579,281.6925,1306.27627096579,52251.0508386316,0.425029688278597,226000,1181.64897039329,324.875,1506.52397039329,60260.9588157315,0.376599199238391,297000,237600,1242.29997949312,341.55,1583.84997949312,63353.9991797248,0.341640310667282
"25","APPLE VALLEY",255000,248500,204000,1066.62119451429,293.25,1359.87119451429,54394.8477805718,0.482703078131349,198800,1039.43281112471,285.775,1325.20781112471,53008.3124449886,0.490729904860718,250000,2e+05,1045.70705344539,287.5,1333.20705344539,53328.2821378155,0.457005072354221
"26","APTOS",920000,970000,736000,3848.20195667902,1058,4906.20195667902,196248.078267161,0.158860266067158,776000,4057.3433673681,1115.5,5172.8433673681,206913.734694724,0.138429889770316,899000,719200,3760.36256418961,1033.85,4794.21256418961,191768.502567584,0.166401198458784
"27","ARCADIA",1065000,1107500,852000,4454.71204767735,1224.75,5679.46204767735,227178.481907094,0.151319494038871,886000,4632.48224676306,1273.625,5906.10724676306,236244.289870523,0.137708557226508,1059000,847200,4429.61507839466,1217.85,5647.46507839466,225898.603135786,0.129037922145442
"28","ARCATA",360000,344453,288000,1505.81815696136,414,1919.81815696136,76792.7262784543,0.209298418704337,275562.4,1440.7877267217,396.12095,1836.9086767217,73476.3470688678,0.221297537408398,357500,286000,1495.3610864269,411.125,1906.4860864269,76259.4434570761,0.189997478275755
"29","ARMONA",155250,161500,124200,649.384080189585,178.5375,827.921580189585,33116.8632075834,0.643419969516061,129200,675.52675652572,185.725,861.25175652572,34450.0702610288,0.625017898493666,155000,124000,648.33837313614,178.25,826.58837313614,33063.5349254456,0.605591685200229
"30","ARNOLD",305500,295000,244400,1277.85401931026,351.325,1629.17901931026,65167.1607724105,0.442398477213615,236000,1233.93432306556,339.25,1573.18432306556,62927.3729226223,0.456157264787078,315000,252000,1317.59088734119,362.25,1679.84088734119,67193.6354936475,0.511160991025514
"31","AROMAS",686250,802500,549000,2870.46586170759,789.1875,3659.65336170759,146386.134468303,0.256379653467917,642000,3356.71964155969,922.875,4279.59464155969,171183.785662388,0.180770913174135,799000,639200,3342.07974281146,918.85,4260.92974281146,170437.189712458,0.195644626475666
"32","ARROYO GRANDE",695000,652500,556000,2907.06560857817,799.25,3706.31560857817,148252.624343127,0.196728004842117,522000,2729.29540949246,750.375,3479.67040949246,139186.816379698,0.224578094304223,685000,548000,2865.23732644036,787.75,3652.98732644036,146119.493057614,0.161998616609487
"33","ARTESIA",507500,463750,406000,2122.78531849414,583.625,2706.41031849414,108256.412739765,0.315680218950288,371000,1939.78658414119,533.3125,2473.09908414119,98923.9633656477,0.356067315970626,480000,384000,2007.75754261514,552,2559.75754261514,102390.301704606,0.316676533630979
"34","ARTOIS",256000,175000,204800,1070.80402272808,294.4,1365.20402272808,54608.160909123,0.563433682843563,140000,731.994937411771,201.25,933.244937411771,37329.7974964708,0.687273912979311,487000,389600,2037.03734011161,560.05,2597.08734011161,103883.493604465,0.254398788219992
"35","ATASCADERO",528500,5e+05,422800,2210.62471098355,607.775,2818.39971098355,112735.988439342,0.288022543681919,4e+05,2091.41410689077,575,2666.41410689077,106656.564275631,0.313018082545879,487000,389600,2037.03734011161,560.05,2597.08734011161,103883.493604465,0.313022250295948
